"igpm_2014_2018";"valor_receita_publica";"rank_receita_uf";"indicador_competitividade";"n_votos";"valor_receita_total";"n_vagas_uf";"situacao_eleitoral";"sexo";"cargo";"ano_eleicao";"uf";"rank_votacao_uf"
"1,3121289";"19,09";"77";"Não competitivo";"1614";"20392,69";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"66"
"1,3121289";"4173,91";"93";"Não competitivo";"2167";"8845,61";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"57"
"1,3121289";"1000";"166";"Não competitivo";"5515";"2020";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"47"
"1,3121289";;"179";"Não competitivo";"213";"1983,69";"17";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"GO";"181"
"1,3121289";;"124";"Não competitivo";"1920";"6772";"17";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"91"
"1,3121289";"3720";"143";"Não competitivo";"563";"5005,25";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"138"
"1,3121289";;"93";"Não competitivo";"10764";"19398,8";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"43"
"1,3121289";;"37";"Não competitivo";"22216";"170594,07";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"DF";"17"
"1,3121289";"4850,32";"102";"Não competitivo";"761";"4850,32";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MS";"87"
"1,3121289";"272000";"17";"Não competitivo";"7489";"326600";"8";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"MS";"32"
"1,3121289";;"121";"Não competitivo";"1338";"7000";"17";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"106"
"1,3121289";"800";"131";"Não competitivo";"616";"5886,49";"17";"NÃO ELEITO";"FEMININO";"DEPUTADO FEDERAL";"2018";"GO";"133"
"1,3121289";;"66";"Não competitivo";"1872";"35199,16";"8";"NÃO ELEITO";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"62"
"1,3121289";;"109";"Não competitivo";"1387";"10286";"17";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"GO";"104"
"1,3121289";"1000000";"13";"Não competitivo";"9330";"1017900";"8";"SUPLENTE";"MASCULINO";"DEPUTADO FEDERAL";"2018";"MT";"33"
"1,3121289";"855000";"15";"Não competitivo";"2532";"855655";"8";"SUPLENTE";"FEMININO";"DEPUTADO FEDERAL";"2018";"DF";"71"
